instance,as4mocoRun,sbsRun,oracleRun,score,solver_as4moco,solver_sbs,solver_oracle,as4moco_Pipeline,instance_hardness,difference_to_oracle,different_solutions,Fold
mc2022_track1_015.dimacs,0.026,0.251,0.009,0.07024793388429752,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/1.sh,PER_SET,24.056625,0.017,ALL_SAME,2
mc2022_track1_016.dimacs,0.061,0.6,0.035,0.04601769911504425,d4/default.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,73.69425,0.025999999999999995,ALL_SAME,1
mc2022_track1_017.dimacs,0.04,0.25,0.039,0.004739336492891,d4/default.sh,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,28.4150625,0.0010000000000000009,ALL_SAME,2
mc2022_track1_018.dimacs,0.232,0.691,0.102,0.2207130730050934,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,36.1475,0.13,ALL_SAME,3
mc2022_track1_019.dimacs,0.382,0.418,0.099,0.8871473354231977,d4/default.sh,ExactMC/ExactMC_BE.sh,dpmcpre/1pre1mp1,PER_SET,52.179,0.28300000000000003,ALL_SAME,2
mc2022_track1_020.dimacs,0.621,4.059,0.396,0.06142506142506141,d4/default.sh,ExactMC/ExactMC_BE.sh,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,PER_SET,252.4069375,0.22499999999999998,ALL_SAME,5
mc2022_track1_021.dimacs,0.157,0.458,0.064,0.23604060913705582,d4/default.sh,ExactMC/ExactMC_BE.sh,c2d/default,PER_SET,56.693875000000006,0.093,ALL_SAME,5
mc2022_track1_022.dimacs,0.04,0.251,0.039,0.004716981132075476,d4/default.sh,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,29.583625,0.0010000000000000009,ALL_SAME,3
mc2022_track1_023.dimacs,4.283,0.586,0.586,-1.0,ExactMC/ExactMC_Arjun.sh,ExactMC/ExactMC_BE.sh,ExactMC/ExactMC_BE.sh,PER_INSTANCE,549.993625,3.6970000000000005,ALL_SAME,3
mc2022_track1_024.dimacs,0.031,0.251,0.019,0.05172413793103448,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,15.872874999999999,0.012,ALL_SAME,5
mc2022_track1_025.dimacs,0.401,0.543,0.165,0.6243386243386244,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,250.3209375,0.23600000000000002,ALL_SAME,5
mc2022_track1_026.dimacs,0.62,0.653,0.237,0.9206730769230769,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,250.3888125,0.383,ALL_SAME,2
mc2022_track1_027.dimacs,0.36,0.644,0.236,0.30392156862745096,d4/default.sh,ExactMC/ExactMC_BE.sh,dpmcpre/1pre1mp1,PER_SET,265.5918125,0.124,ALL_SAME,2
mc2022_track1_028.dimacs,0.051,0.364,0.015,0.10315186246418338,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,20.860875,0.036,ALL_SAME,5
mc2022_track1_029.dimacs,120.717,1.065,0.386,177.2179675994109,Narsimha-track1v-51fd045537919d/track1_conf2.sh,ExactMC/ExactMC_Arjun.sh,dpmcpre/1pre1mp0,PER_INSTANCE,251.7884375,120.331,ALL_SAME,4
mc2022_track1_030.dimacs,120.666,0.67,0.215,264.72747252747246,Narsimha-track1v-51fd045537919d/track1_conf2.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_INSTANCE,250.62425,120.451,ALL_SAME,4
mc2022_track1_031.dimacs,120.377,0.334,0.095,503.2719665271966,Narsimha-track1v-51fd045537919d/track1_conf2.sh,ExactMC/ExactMC_Arjun.sh,gpmc_r2/track1,PER_INSTANCE,250.19231249999999,120.282,ALL_SAME,4
mc2022_track1_032.dimacs,0.628,0.618,0.261,1.0280112044817928,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,250.6683125,0.367,ALL_SAME,5
mc2022_track1_033.dimacs,1.915,0.278,0.02,7.344961240310077,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_INSTANCE,20.092000000000002,1.895,ALL_SAME,4
mc2022_track1_034.dimacs,0.906,68.002,0.098,0.011899151743638078,d4/default.sh,ExactMC/ExactMC_BE.sh,dpmcpre/1pre1mp1,PER_SET,50.9075,0.808,ALL_SAME,5
mc2022_track1_035.dimacs,0.05,0.246,0.027,0.10502283105022832,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,28.426875,0.023000000000000003,ALL_SAME,5
mc2022_track1_036.dimacs,0.031,0.254,0.019,0.05106382978723404,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,23.605,0.012,ALL_SAME,2
mc2022_track1_037.dimacs,0.176,3600.0,0.166,2.777905870104005E-6,d4/default.sh,ExactMC/ExactMC_BE.sh,dpmcpre/1pre1mp1,PER_SET,290.754125,0.009999999999999981,ALL_SAME,3
mc2022_track1_038.dimacs,0.074,0.264,0.031,0.18454935622317595,d4/default.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,25.2851875,0.043,ALL_SAME,1
mc2022_track1_039.dimacs,0.042,0.246,0.035,0.03317535545023696,d4/default.sh,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,27.5490625,0.006999999999999999,ALL_SAME,5
mc2022_track1_040.dimacs,120.422,0.688,0.121,212.17107583774253,Narsimha-track1v-51fd045537919d/track1_conf2.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_INSTANCE,250.445625,120.301,ALL_SAME,4
mc2022_track1_041.dimacs,120.695,0.442,0.101,353.64809384164226,Narsimha-track1v-51fd045537919d/track1_conf2.sh,ExactMC/ExactMC_Arjun.sh,gpmc_r2/track1,PER_INSTANCE,254.7468125,120.594,ALL_SAME,4
mc2022_track1_042.dimacs,0.594,0.634,0.24,0.898477157360406,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,250.7763125,0.354,ALL_SAME,3
mc2022_track1_043.dimacs,124.574,4.4,0.672,33.23551502145923,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,ExactMC/ExactMC_Arjun.sh,d4/default.sh,PER_INSTANCE,252.9668125,123.902,ALL_SAME,4
mc2022_track1_044.dimacs,0.429,10.17,0.215,0.021496735308890003,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,35.4985,0.214,ALL_SAME,3
mc2022_track1_045.dimacs,0.725,0.786,0.598,0.6755319148936169,d4/default.sh,ExactMC/ExactMC_Arjun.sh,TwG/2.sh,PER_SET,34.01625,0.127,ALL_SAME,1
mc2022_track1_046.dimacs,0.704,0.607,0.267,1.2852941176470587,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,250.981875,0.43699999999999994,ALL_SAME,3
mc2022_track1_047.dimacs,0.544,0.551,0.513,0.8157894736842105,d4/default.sh,ExactMC/ExactMC_BE.sh,dpmcpre/1pre1mp1,PER_SET,251.229125,0.031000000000000028,ALL_SAME,5
mc2022_track1_048.dimacs,69.71,33.268,4.447,2.264425245480725,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,ExactMC/ExactMC_BE.sh,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,PER_SET,46.558062500000005,65.26299999999999,ALL_SAME,3
mc2022_track1_049.dimacs,0.651,9.069,0.561,0.010578279266572633,d4/default.sh,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,1808.9805000000001,0.08999999999999997,ALL_SAME,3
mc2022_track1_050.dimacs,3.212,2.957,1.047,1.1335078534031415,dpmcpre/1pre1mp1,ExactMC/ExactMC_BE.sh,ExactMC/ExactMC_Arjun.sh,PER_SET,1188.4425,2.165,ALL_SAME,3
mc2022_track1_051.dimacs,0.286,3600.0,0.072,5.944563335711158E-5,d4/default.sh,ExactMC/ExactMC_BE.sh,c2d/default,PER_SET,455.34668750000003,0.21399999999999997,ALL_SAME,3
mc2022_track1_052.dimacs,4.66,1.66,0.424,3.4271844660194173,ExactMC/ExactMC_Arjun.sh,ExactMC/ExactMC_Arjun.sh,TwG/2.sh,PER_INSTANCE,251.019375,4.236,ALL_SAME,4
mc2022_track1_053.dimacs,129.921,15.644,1.039,8.824512153372133,Narsimha-track1v-51fd045537919d/track1_conf2.sh,ExactMC/ExactMC_Arjun.sh,dpmcpre/1pre1mp1,PER_INSTANCE,1376.8075,128.882,ALL_SAME,4
mc2022_track1_054.dimacs,4.293,4.725,0.894,0.8872357086922475,dpmcpre/1pre1mp1,ExactMC/ExactMC_BE.sh,dpmcpre/1pre1mp1,PER_SET,1218.6383125,3.399,ALL_SAME,5
mc2022_track1_055.dimacs,0.399,3600.0,0.09,8.583547922031386E-5,d4/default.sh,ExactMC/ExactMC_BE.sh,c2d/default,PER_SET,483.01093749999995,0.30900000000000005,ALL_SAME,3
mc2022_track1_056.dimacs,6.978,2.809,0.662,2.9417792268281318,ExactMC/ExactMC_Arjun.sh,ExactMC/ExactMC_Arjun.sh,d4/default.sh,PER_INSTANCE,700.8960625,6.316,ALL_SAME,4
mc2022_track1_057.dimacs,5.319,5.304,0.848,1.0033662477558347,dpmcpre/1pre1mp0,ExactMC/ExactMC_Arjun.sh,dpmcpre/1pre1mp1,PER_SET,750.7853124999999,4.471,ALL_SAME,1
mc2022_track1_058.dimacs,0.644,0.763,0.251,0.767578125,d4/default.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,754.8530625,0.393,ALL_SAME,1
mc2022_track1_059.dimacs,5.521,1.538,1.107,10.241299303944313,ExactMC/ExactMC_BE.sh,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,255.14137499999998,4.414,ALL_SAME,2
mc2022_track1_060.dimacs,7.503,1.451,1.435,379.24999999999966,ExactMC/ExactMC_Arjun.sh,ExactMC/ExactMC_Arjun.sh,d4/default.sh,PER_SET,1811.9105,6.068,ALL_SAME,1
mc2022_track1_061.dimacs,0.102,0.61,0.355,-0.9921568627450981,d4/default.sh,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,1600.5586875,-0.253,ALL_SAME,5
mc2022_track1_062.dimacs,3600.0,1.156,1.156,-1.0,Narsimha-track1v-51fd045537919d/track1_conf2.sh,ExactMC/ExactMC_Arjun.sh,ExactMC/ExactMC_Arjun.sh,PER_INSTANCE,1810.9475,3598.844,ALL_SAME,4
